id,name,symbol,market_cap_rank,current_price
drift-staked-sol,Drift Staked SOL,dsol,255,174.23
mx-token,MX,mx,256,2.68
openeden-open-dollar,OpenEden OpenDollar,usdo,257,1.001
layerzero,LayerZero,zro,258,2.25
venom,Venom,venom,259,0.119687
decred,Decred,dcr,260,14.75
ai16z,ai16z,ai16z,261,0.225186
staked-frax-ether,Staked Frax Ether,sfrxeth,262,2964.93
compounding-open-dollar,Compounding OpenDollar,cusdo,263,1.017
safepal,SafePal,sfp,264,0.486215
theta-fuel,Theta Fuel,tfuel,265,0.03468617
trip,Trip,trip,266,8.15
polygon-pos-bridged-dai-polygon-pos,Polygon PoS Bridged DAI (Polygon POS),dai,267,0.999832
golem,Golem,glm,268,0.239734
gho,GHO,gho,269,0.999044
reserve-protocol-eth-plus,ETHPlus,eth+,270,2767.0
baby-doge-coin,Baby Doge Coin,babydoge,271,1.415e-09
havven,Synthetix Network,snx,272,0.682141
resolv-usr,Resolv USR,usr,273,0.999715
notcoin,Notcoin,not,274,0.00225508
arkham,Arkham,arkm,275,0.539759
toshi,Toshi,toshi,276,0.00054365
zilliqa,Zilliqa,zil,277,0.01164224
convex-finance,Convex Finance,cvx,278,2.77
mocaverse,Moca Network,moca,279,0.085
astar,Astar,astr,280,0.02799073
gigachad-2,Gigachad,giga,281,0.02291201
zksync,ZKsync,zk,282,0.059328
blur,Blur,blur,283,0.092108
qtum,Qtum,qtum,284,2.06
vana,Vana,vana,285,7.02
bnb48-club-token,KOGE,koge,286,63.46
oasis-network,Oasis,rose,287,0.02892575
chex-token,CHEX Token,chex,288,0.212712
eutbl,Spiko EU T-Bills Money Market Fund,eutbl,289,1.18
verus-coin,Verus,vrsc,290,2.65
origintrail,OriginTrail,trac,291,0.417228
universal-btc,Universal BTC,unibtc,292,102583.0
iotex,IoTeX,iotx,293,0.02195311
snek,Snek,snek,294,0.00276609
0x,0x Protocol,zrx,295,0.24236
infrared-bera,Infrared Bera,ibera,296,2.41
swissborg,SwissBorg,borg,297,0.207558
wrapped-beacon-eth,Wrapped Beacon ETH,wbeth,298,2839.46
basic-attention-token,Basic Attention,bat,299,0.134314
wrapped-ether-mantle-bridge,Wrapped Ether (Mantle Bridge),weth,300,2634.76
cow-protocol,CoW Protocol,cow,301,0.417216
agentfun-ai,AgentFun.AI,agentfun,302,1.98
euro-coin,EURC,eurc,303,1.14
gas,Gas,gas,304,3.01
moo-deng,Moo Deng,moodeng,305,0.197647
zetachain,ZetaChain,zeta,306,0.222405
nervos-network,Nervos Network,ckb,307,0.00415156
usda-2,USDa,usda,308,0.995381
vethor-token,VeThor,vtho,309,0.00214345
siacoin,Siacoin,sc,310,0.00340065
tradable-na-rent-financing-platform-sstn,Tradable NA Rent Financing Platform SSTN,pc0000031,311,1.0
celo,Celo,celo,312,0.328821
anime,Animecoin,anime,313,0.03393987
neiro-3,Neiro,neiro,314,0.00044547
ordinals,ORDI,ordi,315,8.89
solana-swap,Solana Swap,sos,316,0.184446
zencash,Horizen,zen,317,11.4
qubic-network,Qubic,qubic,318,1.52e-06
tribe-2,Tribe,tribe,319,0.397343
steakhouse-usdc-morpho-vault,Steakhouse USDC Morpho Vault,steakusdc,320,1.086
stargate-finance,Stargate Finance,stg,321,0.185024
gmt-token,GoMining Token,gomining,322,0.440329
elixir-deusd,Elixir deUSD,deusd,323,1.0
yearn-finance,yearn.finance,yfi,324,5233.87
harmony,Harmony,one,325,0.01206297
holotoken,Holo,hot,326,0.0009913
incrypt,Incrypt,inc,327,0.02693023
coinex-token,CoinEx,cet,329,0.064325
binance-peg-sol,Binance-Peg SOL,sol,328,156.08
echelon-prime,Echelon Prime,prime,330,2.8
solayer,Solayer,layer,331,0.80841
ankr,Ankr Network,ankr,332,0.01690873
drift-protocol,Drift Protocol,drift,333,0.556438
aelf,aelf,elf,334,0.223003
ben-pasternak,Launch Coin on Believe,launchcoin,335,0.169107
polymesh,Polymesh,polyx,336,0.14403
aixbt,aixbt by Virtuals,aixbt,337,0.1782
ravencoin,Ravencoin,rvn,338,0.01099359
skor-ai,SKOR AI,skorai,339,0.189682
astherus-staked-bnb,Aster Staked BNB,asbnb,340,691.34
threshold-network-token,Threshold Network,t,341,0.01624182
euler,Euler,eul,342,8.8
uxlink,UXLINK,uxlink,343,0.401053
instadapp,Fluid,fluid,344,4.15
gmx,GMX,gmx,345,15.98
icon,ICON,icx,346,0.151697
blockchain-capital,Blockchain Capital,bcap,347,17.76
digibyte,DigiByte,dgb,348,0.00906718
zano,Zano,zano,349,10.77
resolv-rlp,Resolv RLP,rlp,350,1.2
chia,Chia,xch,351,10.87
nxm,Nexus Mutual,nxm,352,61.33
casper-network,Casper Network,cspr,353,0.01203599
ethereum-pow-iou,EthereumPoW,ethw,354,1.46
bridged-wrapped-ether-starkgate,Bridged Ether (StarkGate),eth,355,2636.0
kinesis-gold,Kinesis Gold,kau,356,108.66
orca,Orca,orca,357,2.6
xyo-network,XYO Network,xyo,358,0.01116778
freysa-ai,Freysa AI,fai,359,0.01897036
woo-network,WOO,woo,360,0.081258
osmosis,Osmosis,osmo,361,0.210723
wemix-token,WEMIX,wemix,362,0.363031
babylon,Babylon,baby,363,0.066471
subsquid,SQD,sqd,364,0.216428
crvusd,crvUSD,crvusd,365,0.999815
stepn,GMT,gmt,366,0.05148
purr-2,Purr,purr,367,0.245608
mag7-ssi,MAG7.ssi,mag7.ssi,368,0.79032
kadena,Kadena,kda,369,0.458251
tellor,Tellor Tributes,trb,370,53.86
magic-eden,Magic Eden,me,371,0.959309
tdccp,TDCCP,tdccp,372,0.222779
stasis-eurs,STASIS EURO,eurs,373,1.13
lmgrouptoken,LMGroupToken,lmgx,374,1.46
zignaly,ZIGChain,zig,375,0.098206
enjincoin,Enjin Coin,enj,376,0.074556
coinshift-usdl-morpho-vault,Coinshift USDL Morpho Vault,csusdl,377,1.028
melania-meme,Melania Meme,melania,378,0.337962
nano,Nano,xno,379,1.007
wrapped-fragsol,Wrapped fragSOL,wfragsol,380,163.88
level-usd,Level USD,lvlusd,381,0.999248
sushi,Sushi,sushi,382,0.685209
kinesis-silver,Kinesis Silver,kag,383,34.52
io,io.net,io,384,0.811723
rocket-pool,Rocket Pool,rpl,385,6.16
bitkub-coin,KUB Coin,kub,386,1.48
book-of-meme,BOOK OF MEME,bome,387,0.00189859
stp-network,AWE Network,awe,388,0.064106
hamster-kombat,Hamster Kombat,hmstr,389,0.00201883
cronos-bridged-usdc-cronos,Cronos Bridged USDC (Cronos),usdc,390,0.997209
compound-ether,cETH,ceth,391,53.02
verasity,Verasity,vra,393,0.0016325
gohome,GOHOME,gohome,392,246.07
rollbit-coin,Rollbit Coin,rlb,394,0.062177
coti,COTI,coti,395,0.058627
astherus-usdf,Aster USDF,usdf,396,0.99915
swftcoin,SWFTCOIN,swftc,397,0.01251214
lcx,LCX,lcx,398,0.132642
world-mobile-token,World Mobile Token,wmtx,399,0.169762
skale,SKALE,skl,400,0.02161881
ontology,Ontology,ont,401,0.13646
agora-dollar,AUSD,ausd,402,0.999029
resupply-usd,Resupply USD,reusd,403,0.99063
goatseus-maximus,Goatseus Maximus,goat,404,0.123846
amnis-aptos,Amnis Aptos,amapt,405,4.89
anzen-usdz,Anzen USDz,usdz,406,0.992806
cookie,Cookie DAO,cookie,407,0.223574
alchemist-ai,Alchemist AI,alch,408,0.143974
diamond-launch,Diverge Loop,dlc,409,0.136644
illuvium,Illuvium,ilv,410,12.87
big-time,Big Time,bigtime,411,0.063609
moonwell-artemis,Moonwell,well,412,0.03588171
terra-luna-2,Terra,luna,413,0.17395
vvs-finance,VVS Finance,vvs,414,2.44e-06
acet-token,Acet,act,415,0.069302
origin-ether,Origin Ether,oeth,416,2638.74
swipe,Solar,sxp,417,0.182132
bitdca,BitDCA,bdca,418,0.879492
status,Status,snt,419,0.02935533
hive,Hive,hive,420,0.242649
hivemapper,Hivemapper,honey,421,0.02631604
beets-staked-sonic,Beets Staked Sonic,sts,422,0.408605
loopring,Loopring,lrc,423,0.092238
siren-2,Siren,siren,424,0.156843
metis-token,Metis,metis,425,17.98
gamebitcoin-power,Gamebitcoin Power,pwr,426,0.104837
bio-protocol,Bio Protocol,bio,427,0.064101
sui-bridged-usdt-sui,Sui Bridged USDT (Sui),usdt,428,1.0
ai-companions,AI Companions,aic,430,0.111796
metaplex,Metaplex,mplx,429,0.142105
non-playable-coin,Non-Playable Coin,npc,431,0.01400813
lift-dollar,Lift Dollar,usdl,432,0.999798
vicicoin,ViciCoin,vcnt,433,19.79
constellation-labs,Constellation,dag,434,0.03931226
mythos,Mythos,myth,435,0.139907
kamino,Kamino,kmno,436,0.055284
ignition-fbtc,Function ƒBTC,fbtc,437,105036.0
pocket-network,Pocket Network,pokt,438,0.054901
sophon,Sophon,soph,439,0.055189
conscious-token,Conscious Token,conscious,440,0.110197
waves,Waves,waves,441,1.1
pha,PHALA,pha,442,0.137792
rekt-4,Rekt,rekt,443,2.60764e-07
degen-base,Degen,degen,444,0.00469663
singularitynet,SingularityNET,agix,445,0.357011
ozone-chain,Ozone Chain,ozo,446,0.132834
lorenzo-stbtc,Lorenzo stBTC,stbtc,447,104313.0
constitutiondao,ConstitutionDAO,people,448,0.02112857
band-protocol,Band Protocol,band,449,0.685319
project-galaxy,GAL (migrated to Gravity - G),gal,450,0.834052
wrapped-zenbtc,Zenrock BTC,zenbtc,451,106002.0
alchemy-pay,Alchemy Pay,ach,452,0.02142561
sbtc-2,sBTC,sbtc,453,105140.0
request-network,Request,req,454,0.140976
initia,Initia,init,455,0.703858
der-daku,Daku,daku,456,0.174473
noble-dollar-usdn,Noble Dollar (USDN),usdn,457,0.999709
energy-web-token,Energy Web,ewt,458,1.72
bora,BORA,bora,459,0.090241
entangle,Entangle,ntgl,460,0.00017148
verge,Verge,xvg,461,0.00621208
paal-ai,PAAL AI,paal,462,0.114046
manta-network,Manta Network,manta,463,0.24529
solo-coin,Sologenic,solo,464,0.254918
uma,UMA,uma,465,1.16
civic,Civic,cvc,466,0.125655
venus,Venus,xvs,467,6.03
optimism-bridged-wbtc-optimism,Optimism Bridged WBTC (Optimism),wbtc,468,105117.0
qusdt,QL1 Bridged USDT (QL1),qusdt,469,1.0
elixir-staked-deusd,Elixir Staked deUSD,sdeusd,470,1.044
g-token,Gravity (by Galxe),g,471,0.01369474
proton,XPR Network,xpr,472,0.00361705
